doc_id,title ,category,sub_category ,location ,description,content,source,tags
153,Pantai Karang Sewu,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
154,Daya Tarik Wisata Bedugul,destinasi_wisata,Alam,,,,Google Maps / Manual,
155,SEKUMPUL WATERFALL OFFICIAL (POST 1),destinasi_wisata,Alam,,,,Google Maps / Manual,
156,Bendungan Titab - Ularan,destinasi_wisata,Umum,,,,Google Maps / Manual,
157,Buyan Lake Nature Park - Lake Tamblingan,destinasi_wisata,Alam,,,,Google Maps / Manual,
158,"Kerobokan Beach, Singaraja",destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
159,Banyuwedang Hotspring,destinasi_wisata,Umum,,,,Google Maps / Manual,
160,HIDDEN WATERFALL SEKUMPUL,destinasi_wisata,Alam,,,,Google Maps / Manual,
161,Wisata Dolphin Lovina,destinasi_wisata,Umum,,,,Google Maps / Manual,
162,Candi Budha Kalibukbuk,destinasi_wisata,Budaya,,,,Google Maps / Manual,
163,Harbour Tourist Area of Buleleng,destinasi_wisata,Umum,,,,Google Maps / Manual,
164,Pura Pabean,destinasi_wisata,Budaya,,,,Google Maps / Manual,
165,Air Terjun Cemara,destinasi_wisata,Alam,,,,Google Maps / Manual,
166,Pantai Umeanyar,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
167,Air Terjun Umejero,destinasi_wisata,Alam,,,,Google Maps / Manual,
168,Pantai Pemuteran Bali,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
169,Pantai Skip,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
170,Bukit Teletubies Kubutambahan,destinasi_wisata,Umum,,,,Google Maps / Manual,
171,Gedong Kirtya,destinasi_wisata,Umum,,,,Google Maps / Manual,
172,Permandian dan Tempat Melukat,destinasi_wisata,Budaya,,,,Google Maps / Manual,
173,Singsing Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
174,Air sanih natural spring,destinasi_wisata,Umum,,,,Google Maps / Manual,
175,Krisna Water Sports,destinasi_wisata,Umum,,,,Google Maps / Manual,
176,ᬧᬸᬭᬶᬓᬗᬶᬦᬦ᭄ᬩᬸᬮᬾᬮᬾᬂ᭟ Puri Kanginan Buleleng,destinasi_wisata,Budaya,,,,Google Maps / Manual,
177,PANTAI SERIRIT,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
178,Wanagiri Pucak Manik Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
179,Monumen Yudha Mandala Tama,destinasi_wisata,Umum,,,,Google Maps / Manual,
180,Wisata Kubu Abian Bagus,destinasi_wisata,Umum,,,,Google Maps / Manual,
181,Lemukih Waterfalls,destinasi_wisata,Alam,,,,Google Maps / Manual,
182,Pantai Pasir Putih Lovina,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
183,𝘁𝗲𝗹𝘂𝗸 𝗚𝗼𝗻𝗱𝗼𝗹,destinasi_wisata,Umum,,,,Google Maps / Manual,
184,Mayong Cultural Walk,destinasi_wisata,Umum,,,,Google Maps / Manual,
185,Wisata Monyet,destinasi_wisata,Umum,,,,Google Maps / Manual,
186,Grombong Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
